dateff,mktrf,smb,hml,rf,umd
19800131,0.055100,0.016200,0.017500,0.00800,0.075100
19800229,-0.012200,-0.018500,0.006100,0.00890,0.078800
19800331,-0.129000,-0.066400,-0.010100,0.01210,-0.095900
19800430,0.039700,0.010500,0.010800,0.01260,-0.004200
19800530,0.052600,0.021300,0.003800,0.00810,-0.011100
19800630,0.030600,0.016600,-0.007600,0.00610,0.015900
19800731,0.064900,0.041400,-0.064100,0.00530,0.003700
19800829,0.018000,0.039300,-0.026100,0.00640,0.031900
19800930,0.021900,0.009700,-0.045800,0.00750,0.054400
19801031,0.010600,0.025000,-0.027900,0.00950,0.073200
19801128,0.095900,-0.033600,-0.083300,0.00960,0.152400
19801231,-0.045200,-0.002600,0.027900,0.01310,-0.066500
19810130,-0.050400,0.029200,0.067200,0.01040,-0.079400
19810227,0.005700,-0.003400,0.010200,0.01070,-0.013900
19810331,0.035600,0.035400,0.006400,0.01210,0.007300
19810430,-0.021100,0.044000,0.022800,0.01080,-0.009500
19810529,0.001100,0.020000,-0.004200,0.01150,0.037500
19810630,-0.023600,-0.008300,0.051300,0.01350,-0.059000
19810731,-0.015400,-0.021800,-0.004900,0.01240,-0.025200
19810831,-0.070400,-0.019400,0.047900,0.01280,-0.011200
19810930,-0.071700,-0.026500,0.051700,0.01240,0.019700
19811030,0.049200,0.022300,-0.042100,0.01210,0.040700
19811130,0.033600,-0.010300,0.018500,0.01070,-0.002600
19811231,-0.036500,0.012000,0.008200,0.00870,0.013200
19820129,-0.032400,-0.012800,0.031900,0.00800,0.017300
19820226,-0.058600,0.004400,0.060500,0.00920,0.050000
19820331,-0.018700,-0.002100,0.038300,0.00980,0.029300
19820430,0.032700,0.014700,-0.027000,0.01130,-0.004100
19820528,-0.039900,0.005200,0.017600,0.01060,0.025500
19820630,-0.030900,-0.004000,0.015500,0.00960,0.050000
19820730,-0.031900,0.008300,0.000900,0.01050,0.044700
19820831,0.111400,-0.041300,0.009300,0.00760,-0.035200
19820930,0.012900,0.029600,0.002700,0.00510,0.041700
19821029,0.113000,0.023500,-0.036700,0.00590,0.000300
19821130,0.046700,0.046600,-0.018500,0.00630,0.058900
19821231,0.005500,-0.002500,0.000100,0.00670,0.000200
19830131,0.036000,0.027100,-0.007100,0.00690,-0.017000
19830228,0.025900,0.032800,0.007000,0.00620,0.038300
19830331,0.028200,0.017400,0.020100,0.00630,0.009300
19830429,0.066700,0.004900,0.005100,0.00710,0.018000
