,tic,PERMNO,VOL,RET,risk_premium,SPREAD,size,s2p,epspxq,ceqq,mktrf,smb,hml,rf,umd,sprtrn,date_merge,sizeln
0,AMT,10097,3464.0,0.042254,0.021654,0.03125,62881.5,0.004410518196925964,0.42,50.977,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,11.049007281780396
1,TT,61209,2564.0,0.1,0.0794,1.25,84199.5,0.019358582889447088,0.9,1795.5,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,11.340944261970506
2,WST,62594,37.0,-0.0625,-0.08310000000000001,0.125,2590.3125,0.22398841838581254,1.33,1854.5,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,7.859533803785846
3,MDC,66245,3949.0,-0.030345,-0.050945000000000004,0.125,134918.0,0.001681198950473621,0.17,205.033,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,11.812422465466547
4,RES,66683,5077.0,0.108434,0.087834,0.125,167267.5,0.0002321251886947554,0.23,104.361,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,12.027349606298506
5,SCHL,69382,10177.0,0.039604,0.019004,0.25,187989.375,0.0003298909845303757,1.34,42.605,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,12.144140724257552
6,Y,71271,840.0,-0.024051,-0.044650999999999996,1.5,1387414.5,0.0003611696432464847,6.18,1320.643,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,14.142952501082416
7,TECH,75694,5871.0,0.154639,0.134039,0.5,264656.0,4.728780001209117e-05,0.17,32.661,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,12.486186148482002
8,TFC,75803,1462.0,-0.034667,-0.055267000000000004,0.125,57690.0,0.008058571676200381,0.64,1670.394,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,10.962839127250936
9,CFR,75901,5561.0,-0.007092,-0.027692,1.0,273945.0,0.0004325430287101425,0.64,383.701,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,12.520682635294252
10,TYL,76185,4080.0,0.105263,0.08466299999999999,0.125,52171.875,0.0010122312069481881,0.22,93.362,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,10.86229883556612
11,MTRX,76279,20791.0,0.102041,0.08144100000000001,1.0,62842.5,0.0007679834506902176,0.07,72.006,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,11.04838687515555
12,AN,76391,25464.0,0.208333,0.18773299999999998,0.0625,128209.0,0.04512241730299745,1.73,3235.7,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,11.761417023812717
13,CATY,76515,5494.0,0.081967,0.061367,0.125,126720.0,0.0014129340277777777,0.89,2418.144,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,11.749735207048253
14,SCHL,77354,50653.0,-0.047273,-0.067873,0.75,983875.5,0.0002994382927514711,1.92,274.936,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,13.79925464363926
15,STAR,77405,115439.0,0.081699,0.061098999999999994,0.03125,1568484.875,2.4227202063392545e-08,-0.01,2.155,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,14.265620663595385
16,SPTN,77534,23776.0,0.024,0.0034000000000000002,0.5,152440.0,0.003714563106796117,1.59,128.745,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,11.934526354987797
17,REX,77780,13831.0,0.118421,0.09782099999999999,1.0,100427.5,0.0012118194717582337,0.7,55.594,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,11.51719135311728
18,CAKE,77902,13914.0,-0.027778,-0.048378000000000004,0.5,284970.0,0.00012046882127943292,0.19,76.206,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,12.560139190552338
19,FOSL,79089,17523.0,0.223529,0.202929,0.03125,171366.0,0.00034272842920999495,0.29,61.27,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,12.051556899074201
20,ALL,79323,226661.0,-0.074405,-0.095005,0.375,17299375.0,0.00033812782253694136,0.88,12680.0,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,16.666180931647776
21,DFS,79337,3064.0,-0.070833,-0.09143299999999999,0.25,269690.625,0.005001872052467527,0.31,30217.0,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,12.505030747678266
22,SGMS,79354,13420.0,-0.019565,-0.040165,0.375,2418656.625,0.00019845727377692566,-1.57,-2653.0,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,14.698722830363888
23,RC,79441,247.0,0.025225,0.004625000000000001,0.25,74269.25,0.0002477741460968032,4.14,136.631,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,11.215452282322332
24,CASH,79571,336.0,0.021978,0.0013780000000000008,0.5,41617.5,0.0001366252177569532,0.43,38.757,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,10.636276030868165
25,MAR,79764,58384.0,0.026316,0.005715999999999999,0.3125,6116711.25,0.00047574585117124825,0.68,1054.0,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,15.626535132598518
26,ROCK,79862,3722.0,0.2,0.1794,0.75,183132.0,0.00039883799663630607,0.22,70.244,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,12.117962483278875
27,ARWR,80071,1982.0,0.3125,0.2919,0.375,18398.625,0.0011578582638648268,-0.2,454.472,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,9.820031212543912
28,MAA,80189,4547.0,0.009378,-0.011222000000000001,0.125,224516.25,0.0019702048292718232,0.72,5871.624,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,12.321703366618415
29,DSPG,80264,723.0,0.148148,0.127548,0.75,24129.625,0.0013214047047975259,-0.06,156.238,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,10.091195617677762
30,CPRT,80320,10876.0,0.10101,0.08041000000000001,0.0625,341715.0,7.73041862370689e-05,0.2,115.846,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,12.741732335296165
31,FR,80683,14139.0,0.043716,0.023115999999999998,0.375,575984.375,4.8518677264465727e-05,0.24,306.006,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,13.26383581257398
32,GBX,80750,10623.0,-0.010417,-0.031017,0.75,74408.75,0.005415881868731836,-0.3,1280.407,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,11.217328821432842
33,AMED,80795,813.0,-0.185714,-0.206314,1.0,18411.0,0.0005345174080712617,0.05,4.274,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,9.820703591057207
34,L,81301,1297.0,0.059761,0.039161,0.125,932828.75,0.005145480346741028,6.32,8238.7,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,13.745976915286935
35,HA,81666,20384.0,0.106383,0.085783,0.625,27670.5,0.003345693066623299,-0.01,29.178,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,10.228122142729744
36,LECO,81678,1272.0,0.028571,0.007970999999999999,0.125,284013.0,0.0008847024608028505,0.54,329.946,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,12.556775290743603
